a few;کمی
madison;مدیسون
madly;دیوانه وار
madness;شیدائی ، شوریدگی
madras;مدرس
madrid;مادرید
maestro;رهبر ارکستر
mafia;مافیائی ، مافیا
mafia;مافیا ، مافیایی
mag yu;مگ یو
magazine;مجله
maggot;کرم پنیر
maghreb;مغرب
magi;مغان
magian;مجوسی ، مجوسیان
magic;طلسم ، شعبده بازی ، جادو ، جادویی ، ساحری ، سحر ، سحر آمیز
magic bowl;جام جهان نما
magic lantern;فانوس شعبده
magic words;اجی مجی
magical;سحر آمیز ، طلسمی ، سحرآمیز ، سحری
magician;ساحر ، سحرانگیز ، افسون گر ، جادوگر ، مغ ، افسونگر ، شعبدهباز
magistracy;دادگاه بخش
magistrature;دادرسان
magnanimity;بلند همتی ، علو طبع
magnesia;طباشیر
magnesium;تباشیر ، منیری ، منیزی
magnesium sulfate;سولفات دومنیزی
magnet;مغناطیس ، آهن ربا ، مقناطیس
magnetic;مقناطیسی ، مغناطیسی ، آهن ربا
magnetic core;هسته مغناطیسی
magnetic quality;خاصیت مغناطیسی
magnetism;آهن ربایی
magnetize;آهن ربا کردن
magnetized;مغناطیسی شده
magnificence;شکوه ، عظمت
magnificent;باجلال ، با شکوه ، عظیم ، باشکوه
magnificient;عالی
magnifier;درشت نما
magnifying;درشت نمایی
magnifying glass;ذره بین
magniloquence;گزاف گویی ، قلمبه نویسی
magniloquent;قلنبه نویس
magnolia;ماگنولیا
magog;ماجوج
magpie;زاغی ، کلاغ زاغی
magus;مغ
magus;مجوس ، مجوس
magyar;مجار
mahallat;محلات
mahasti;مهستی
mahatma ghandi;مهاتما گاندی
mahbod;مهبد
mahboobeh;محبوبه
mahbubeh;محبوبه
mahdi army;سپاه مهدی ، ارتش مهدی ، جیش المهدی
mahdiyeh;مهدیه
mahdokht;مهدخت
mahin;مهین
mahindokht;مهیندخت
mahkameh;مهخامه
mahlagha;محلقا
mahmod;محمود
mahmoud;محمود
mahmud;محمود
mahmud reza;محمودرضا
mahnaz;مهناز
mahnush;مهنوش
mahreh;ماهره
mahrokh;ماهرخ
mahroo;ماهرو
mahsa;مهسا
mahshid;مهشید
mahta;مهتا
mahtab;مهتاب
mahvash;مهوش
mahyar;مهیار
maid;خادمه ، ندیمه
maiden;دختر باکره
maidenhair;پر سیاوش ، پرسیاوش
maidenhood;دوشیزگی ، دختری ، بکارت
maidservant;مستخدمه ، مستخدمه
mail;پست ، برید ، زرهدار کردن
mailbag;نامه دان
mailman;پستچی ، نامهرسان ، نامه رسان
maim;چلاق کردن ، کسیرا معیوب کردن ، نقص عضو
main;عمده ، اعظم ، عمده ، اصلی
main beam;شاه تیر
main line;شاه لوله ، شاه سیم
main point;تکیه سخن
main source;علتالعلل
main spring;شاه فنر
main subject;مطلب اصلی
main topics;رووس
main wire;شاه سیم
mainland;قطعه اصلی ، خشکی
mainly;عمدتا
mainspring;سبب عمده
mainstay;نقطه اتکاء ، وابستگی عمده
maintain;نگهداری کردن
maintainer;نگهدارنده ، نگاهدارنده ، نگهدار
maintaining;حفظ
maintaining equilibrium;حفظ اعتدال
maintenance;نگاهداری ، نگهداشت ، نگهداری
majestic;بزرگ جاه ، شاهانه ، باعظمت ، شاهانه ، خسروانی
majesty;جبروت ، حضرت
majid;مجید
majid reza;مجیدرضا
majlessi;مجلسی
major;عمده
major cycle;چرخه بزرگ
major general;سرلشکر
major news;اهم اخبار
major planets;سیارات کبار
major premise;کبری
majordomo;وکیل خرج ، خوانسالار
majority;غالب ، غالب ، اکثریت ، بسیاری
majority party;حزب اکثریت
makable;ساختهشدنی
makan;ماکان
make;تولید کردن ، ساخت ، خلق کردن ، ساختن ، وادار یا ، بر پا کردن ، درست کردن ، دوخت ، دست وپا کردن
make a bowstring;زهزدن
make a contract;پیمان بستن
make a copy;نسخه بر داشتن
make a hole;سوراخ کردن
make a living;امرار معاش کردن ، نان درآوردن
make a mistake;خطا رفتن ، سهو کردن
make a nice distinction;نکته گرفتن
make a profit;نفع کردن
make a promise;عهد کردن
make a rough copy;مسوده کردن
make a rough draft;پیش نویس کردن
make a special effort;دوندگی کردن
make a story;داستان در آوردن
make a widow;بیوهکردن
make acceptable;پذیرانیدن
make accusation;اعلام جرم کردن
make active;فعال کردن
make advanced;پیشرفته کردن
make an agreement;کنار آمدن
make an appointment;وعده گذاشتن
make an effort;تقلا کردن
make an exception;اثتثناء قائل شدن
make an invoice;صورت کردن
make angry;خشم آلود کردن ، خشمناک کردن ، متغیر کردن
make annulated;حلقه حلقه کردن
make available;دردسترس قرار دادن
make better;بهترکردن
make brave;شیر کردن
make busy;مشغول کردن
make cave;غار زدن
make certain;محرز کردن
make conditional;مشروط بر اینکه
make confess;مقر کردن ، مقر آوردن ، به اقرار آوردن
make confused;مچل کردن
make convulsive;متشنج کردن
make crossed;متقاطع کردن
make damp;نم کردن
make decuple;ده برابر کردن
make delicate;لطیف کردن
make delicious;خوش مزه کردن
make desperate;نومید کردن
make determined;مصمم کردن
make difficult;مشکل کردن ، دشوار کردن
make dirty;چرکین کردن
make disappear;نیست کردن
make disobedient;عاصی کردن
make diverse;متنوع کردن
make dizzy;دبنگ کردن
make drink;نوشانیدن
make dull;کساد کردن
make dumb;لال کردن
make duplex;دو رشتهای کردن
make easy;آسان کردن
make ends meet;امرار معاش کردن
make evident;مشهود کردن
make excuses;بهانه آوردن ، اشکالتراشی کردن
make faces;دهان کجی کردن
make faces at;دهن کجی کردن
make famous;معروف کردن ، مشهور کردن
make fatty;چربی دار کردن
make felts;نمد مالیدن
make fine;تلطیف کردن
make firm;استوار کردن
make friend;دوست شدن
make fun;دست انداختن
make fun of;دست اندازی کردن ، دست انداختن
make giddy;گیج کردن
make grass;چمن زار کردن
make guarantee;ضمانت کردن
make happy;مسرور کردن
make haste;عجله کردن
make hate;متنفر کردن
make heavy;سنگین کردن
make helpless;مستاصل کردن
make hernial;غر کردن
make hesitant;مردد کردن
make indebted;مدیون کردن ، مشغولذمه کردن ، مقروض کردن ، مدیون ساختن
make independent;مستقل کردن
make insane;دیوانه کردن
make interested;راغب کردن
make into sheet;ورق کردن
make irrelevant;بیربط ساختن
make known;معلوم کردن
make large;وسیع تر کردن
make laugh;خنده انداختن
make leap;جهاندن
make limp;شل کردن
make look worse;بدتر جلوه دادن
make love;عشقبازی کردن ، معاشقه کردن
make mistake;خطا کردن
make money;پول در آوردن
make mullioned;جرز دار کردن
make naked;عریان کردن
make needful;محتاج کردن ، محتاج نمودن
make negative;نفی کردن
make noise;شلوغ کردن
make obedient;منقاد کردن
make oblique;مایل کردن
make obscure;غامض کردن
make obvious;مشهود کردن
make out;سردرآوردن از
make panicky;دست پاچه نمودن ، دست پاچه کردن
make pickle;ترشی درست کردن
make pond;حوض درست کردن
make popular;مرسوم کردن
make possible;ممکن کردن
make pregnant;حامله کردن
make problem;بیداد کردن
make profit;دخل داشتن
make programmed;برنامه دار کردن
make prostrate;دمر کردن
make proud;روسفید کردن
make pungent;تند کردن
make rafter;الوار دار کردن
make rebellious;عاصی کردن
make red;قرمز کردن
make religious;مذهبی کردن
make secret;بباطنی ساختن
make sick;علیل کردن
make similar;متشابه ساختن
make skillful;خبره کردن
make slip;لغزاندن
make soapy;صابونی کردن
make sound;صدا در آوردن
make sound of siren;آژیر کشیدن
make sour;ترش کردن
make square;مربع کردن
make strong;قوی کردن
make sure;محکم کاری کردن ، مسجل کردن
make swollen;متورم ساختن
make tea;چای درست کردن
make tenfold;ده کردن
make toothed;دندانه دندانه کردن ، دندانه دار کردن
make trouble;اسباب زحمت شدن
make unclean;نجس کردن
make unconscious;مدهوش کردن
make understand;خرفهم کردن ، حالی کردن
make up;توالت ، بزک ، گریم کردن
make up for;تلافی درآوردن
make up for the past;جبران مافات کردن
make water;زهراب ریختن
make wave;تشکیل موج دادن
make wine;شراب انداختن
make wonder;متعجب ساختن ، متعجب کردن
make woof;دارای پود کردن
make worldwide;جهانی کردن
make worried;نگران کردن
make worthy;با ارزش کردن
make-up;گریم
make-up class;کلاس تقویتی
maker;صنیع ، سازنده ، صانع
makeup;آرایش
makhmalbaf;مخمل باف
making;مایه کامیابی
making a living;تعیش ، در تلاش معاش
making a mess;کثافت کاری
making faces;شکلک سازی ، دهن کجی
making jewelry;جواهر تراشی کردن
making self-grow;خودرو سازی
making yoghurt;ماست بندی
maku;ماکو
mala;مالا
malachi;ملاکی نبی
malachias;ملاکی نبی
malachite;مرمرسبز ، مرمر سبز
maladaptation;سوء تناسب ، عدمتناسب
maladjusted;بی توافق ، کژ سازگار ، دژسازگار
maladjustment;عدم تطبیق ، عدم توافق
malady;فاسد شدگی
malaga;مالاگا
malagasy;ماداگاسکار
malakeh;ملکه
malaria;مالاریا ، نوبه ، انگل مالاریا
malarial;مالاریایی ، نوبه ای ، نوبهای
malariology;مالاریا شناسی
malarious;نوبه خیز
malay;مالایا
malaysia;مالزیا
malaysia;مالزی
malaysian;مالزیائی ، مالزیائی
malcolm;مالکوم
malcontent;آماده شورش
male;مرد ، جره ، مذکر ، نرینه ، ذکر ، مذکر ، نر ، مکر
male animal;فحل
male genital organ;آلت مردی
male sex;جنس مذکر
malefactor;جنایت آمیز ، جنایت کار ، جانی
malek;ملک
malek hasan;ملکحسن
malek hoseyn;ملکحسین
maleness;نری
malentendu;سوء تفاهم
malevolent;کج اندیش
malfunction;سوءعمل
malfunctioning;نقص فنی
malice;بدنهادی ، بدذاتی ، بدجنسی ، بد ذاتی ، بدخواهی ، خبث ، کینه توزی ، بدسگالی ، قصد سوء ، بداندیشی
malicious;بدسرشت ، بدخواه ، بداندیش ، غرضآلود ، ناجنس ، بدذات ، بدباطن ، بدسگال ، بد ذات ، بد خواه ، بدجنس ، خبیث
maliganat;ردی
malignancy;بدخیمی
malignant;بدخیم ، صدمه رسان ، کینه جو ، خبیث ، زیان آور
malignity;ردالت ، ردائت
maliheh;ملیحه
malinger;تمارض کردن
malingering;متمارض
malkin;لولوی سرخرمن ، ماده دیو ، زن شلخته
malleability;قابلیت انعطاف
malleable;چکشخور
malleation;جای چکش
mallet;کلوخ کوب
malleus;استخوان چکشی
malnutrition;سوء تغزیه
malodor;بوی بد
malodorous;متعفن
malpractice;معالجه غلط ، سوء اداره
malt;مالت ، مالت زدن
malta;مالت ، مالطه ، مالطه
malta fever;بروسلوز ، تب مالت
malta fever;تب مالت
maltese;مالتی
maltha;زفت معدنی
malthite;زفت معدنی
maltreat;بدکار کردن
maltster;سمنوساز
mama;مامان
mammal;پستاندار
mammalogy;پستاندار شناسی
mammary;پستانی
mammillary;بصورت پستان
mammy;مامان
man;مهره شطرنج ، مرد ، رجل ، من
man eating;آدمخوار
man for man;تن به تن ، تن به تن
man of war;کشتی جنگی
man power;مشمولین نظام
man-eating;آدم خوار
mana;مانا
manage;مدیریت کردن ، از پیش بردن ، رام کردن ، رفع و رجوع کردن ، ادارهکردن ، اداره کردن ، تمشیت دادن به ، تمشیت کردن
manageable;کنترل پذیر
management;مدریت ، مدیریت ، کارفرمانی
manager;رئیس ، مدیرعامل ، مدیر ، کارفرمان
managerial;مدیریتی
managing;رتق ، تمشیت
manaus;ماناوس
manchester;منچستر
mandana;ماندانا
mandatory;حکیم فرمودن
mandbular;فکی
mandela;ماندلا
mandible;زفر
mandoline;ماندولین
mandrake;مردم گیاه
mane;یال
maneuver;تمرین نظامی ، مانور
manganese;منگنز
mange;گری ، گرداندن
manger;آخور
mango;انبه
mangy appearance;اکبیر
manhandle;باخشونت اداره کردن
manhattan;مانهاتان ، منهاتن
manheim;مانهایم
manhole;دریچه آدمرو
manhood;رجولیت ، مردی ، مردانگی
mani;مانی
maniac;مجنون ، مجنون
manic depressive;نوعی جنون
manichaeism;مانویت
manichean;مانوی
manicheism;مانویت
manicure;مانیکور کردن ، مانیکور ، مانیکور زدن
manicurist;مانیکورزن ، مانیکورزن
manifest;ظاهر کردن ، بازنمود کردن ، باهر
manifest destiny;سرنوشت ملی
manifestation;مظهر ، جلوه ، ظهور ، تبیان ، تجلی
manifestations;مظاهر
manifester;مبین
manifestly;علانیتا
manifesto;اعلامیه ، اشعاریه
manila;مانیل
manila;کاغذ مانیل
manila paper;کاغذ مانیل
manilla;کاغذ مانیل
manipulate;تیاری کردن
manipulation;تیاری
manipulative;بادستکاری
manizheh;منیژه
mankind;بشر ، اشرف مخلوقات ، نژاد انسان ، جنس بشر
manlike;جنس نر ، مرد مانند
manliness;فتوت ، نیکمردی ، جوان مردی
manly;جوان مرد ، جوان مرد ، مردوار ، مردانه
manna;گزانگبین
mannequin;مجسمه چوبی ، مانکن ، مانکن
manner;ادب ، بطور ، کیفیت ، چگونگی ، طریقه ، نسق ، نهج ، گونه ، طرز ، طور ، نحو ، نمط ، شکل ، منوال ، عادات ، شیوه ، حسب ، وجه ، سبک
manners;آداب ، عادات ، مناهج
mannikin;آدمک
mannish;مرد نما
mannitol;مانیتول
manoeuvre;مانور دادن
manometer;فشارسنج ، فشارنگار
manometry;فشارنگاری
manor;ملک تیولی
manse;محل سکنی
mansion;کاخ ، عمارت بزرگ
manslaughter;قتل نفس
mansur;منصور
mansureh;منصوره
manta;نوعی ردا
manteau;مانتو
mantelpiece;نمای بخاری
mantissa;مانتیس
mantle;غاشیه ، کلاه توری
mantlepiece;پیش بخاری
mantles;غواشی
mantling;کف زنی
manual;دستی ، یدی ، کتاب راهنما
manually;با دست
manubrium;قسمت خنجری
manuchehr;منوچهر
manuel;مانوئل
manuel gonzales herrera;مانوئل گونزالس هررا
manufacture;عمل آوردن ، فر اوردن
manufacture of glasses;عینک سازی
manufactured;تولیدی
manufacturer of tins;حلبیساز
manufacturing;ساخت
manupulate;بهحیلهمتوسل شدن
manure;کود کشاورزی
manurial;وابسته بکود
manuscript;نسخهخطی ، دستخط ، نسخهخطی
many;بسیاری ، چندین ، بسی ، بسیاری ، بسا
many times;به مراتب ، بارها
many-leaved;پربرگ ، پر پر
mao;مائو ، مائوتسه تونگ
maoist;مائوئیست
maosuit;مائوتسه
map;نقشه
map survey;نقشه کشی کردن
maple syrup;شیره افرا
mapocho;ماپوچو
mapping;نقشه کشی
mar;زیان رساندن
marathon;ماراتن
maraud;چپاول کردن
marble;مهره ، تیله ، مرمری ، مرمر ، رخام ، سنگ مرمر ، گلوله شیشه ای
marbled;مرمرنما
marblize;مرمرنما کردن
marbly;مرمرین ، مرمری
marc;نوعی عرق
marcasite;ماکاسیت
marcel;فر گیسو
march;مارس ، مارچ ، قدم رو ، قدم برداری ، رژه رفتن ، قدم رو کردن ، ماه مارس ، گام نظامی
march;مارس
marchelo;مارچلو
marchesa;زوجه مارکی ، مارکیز
marching;مارش
marchioness;نوعی گلابی
marcy;مارسی
mardavij;مرداویج
mare;اسب ماده ، مادیان
margaret stich;مارگارت استیف
margarin;مارگارین ، کره تقلیدی ، کره نباتی
margarita island;جزیره مارگاریتا
margarite;گل مروارید ، میکای مرواریدی
margin;حاشیه دار کردن ، کناره ، حاشیه
marginal check;برسی مرزی
marginal note;پی نوشت
margined;حاشیه دار
margins;حواشی
marian;مریمی
marian;وابسته بماری
marigold;گل همیشه بهار ، همیشه بهار
marijuana;ماریجوانآ
marine;بحری ، تفنگدار دریایی ، آبزی ، دریایی
marines;تفنگداران دریایی
marionette;نوعی مرغابی
mariot;ماریوت
marish;مردابی
marital;شوهری ، نکاحی ، زوجی ، ازدواجی
maritime;وابسته بدریانوردی
marjan;مرجان
marjaneh;مرجانه
mark;مارک ، مرقس ، مارک ، مآرک
mark;نمره گذاشتن ، نشان دار کردن
mark by numbers;نمره زدن
mark of reference;راده
mark pincher;مارک پینچر
mark sense;نشان گذار
mark sensing;نشان گذاری
mark thomas;مارک توماس
marked;نشاندار
marked with the vowel point;مفتوح ، مضمون
marked with vowel;مضموم
marker;نشانگر
market;بازار ، فروشگاه
market price;مظنه
marks;علامات
marksman;نشانه گیر
marl;آهک رس ، دولابستن
marlinespike;طناب گشا ، نیزه ماهی ، ریسمان واکن
marlinspike;ریسمان واکن ، طناب گشا ، نیزه ماهی
marmalade;مربای به ، مارمالاد
marmar;مرمر
maronite;مارونی
maronite;مارونی ، مارونی
marplot;مناعالخیر ، مداخله کننده
marque;علامت مخصوص
marquee;خیمه بزرگ
marquis;مقام مارکیز
marriage;نکاح ، همسری ، عقید ، عروسی ، تاهل ، وصلت ، مزاوجت ، ازدواج
marriage bond;پیوند زناشویی
marriage contract;عقد نامه
marriage of convenience;عروسی مصلحت آمیز
marriageable;درخور عروسی
married;شوهردار ، عروسی کرده ، متاهل
married couple;زن و شوهر
married man;محصن
married woman;محصنه ، منکوحه
marrow;مغز ، قسمت عمده
marry;داماد شدن ، وصلت کردن ، نکاح کردن ، همسر کردن ، مزاوجت کردن ، شوهر دادن ، شوهر کردن ، ازدواج کردن ، عقد کردن ، عروسیکردن ، عروسی کردن ، متاهل شدن ، بزنی گرفتن ، تاهل اختیار کردن ، عروس کردن
marry off;داماد کردن ، زن دادن
mars;بهرام ، مریخ
mars explorer;مریخ پیما
marsh;سیاه آب ، سیاه آب ، لجنزار ، لجن زار ، گلاب ، لجن زار
marshal;مارشال ، ارتشبد
marshal;مارشال
marshall;مارشال
marshalling;صف آرائی
mart;مرکز حراج ، مرکز بازرگانی
martian;مریخی
martin;مارتین
martyr;شهید
martyrdom;شهادت
martyrs;شهدا
marvel;شگفت داشتن ، حیرت زده شدن
marxism;عقیده مارکس
maryam;مریم
maryam baygom;مریمبیگم
marziyeh;مرزیه
mascara;وسمه
mascot;نظر قربانی
masculine;مردانه ، مکر ، نرین
masculinity;مردی ، ذکوریت ، تذکیر
mash;خمیر کردن ، درهم وبرهمی
mashallah;ماشاالله
mashed;له
mashed potato;پوره سیب زمینی
masher;لهکننده ، گوشت کوب ، گوشت کوب
mask;پوشانه ، نقاب زدن ، ماسک ، نقاب
masochism;مازوکیسم
mason;بنا ، فراماسیون ، فراماسون ، عضو فراموشخانه ، باسنگ ساختن ، حجار
masonry;حجاری ، فراماسیونی
masood;مسعود
masood barzani;مسعود بارزانی
masood reza;مسعود رضا
masquerade;بالماسکه ، لباس مبدل
mass;کپه کردن ، توده
mass media;رسانه های همگانی ، رسانههای همقانی ، رسانه همگانی
mass noun;اسم کل
mass of people;توده مردم
mass production;پرسازی ، تولید ماشینی
massacre;قتل عام ، قتل عام کردن
massage;ماساژ ، ماساژ دادن ، مشتمال دادن ، مالیدن ، مشت و مال ، مشت ومال
masseter;عضله مضغ
masseur;ماساژ دهنده ، دلاک
massif;توده سنگ
massive;سیل آسا ، کلان ، حجیم ، گنده ، جسیم ، عظیم
mast;دگل
mastaneh;مستانه
master;مخدوم ، سنیور ، سرور ، مالک ، افندی ، کیا ، ارباب ، صاحب
master data;شاه دادهها
masterpiece;شاهکار ، شیرین کاری
mastership;آقائی
masterstroke;شاهکار
masterwork;کار مهم
mastery;سیادت ، تبحر
mastic;مصطکی
masticate;بزاقی کردن
mastodynia;درد پستان
mastoid;پستان مانند ، حلمی
masturbate;جلق زدن
masturbation;جلق ، استمناء ، استمناء کردن
mastureh;مستوره
masum;معصوم
masumeh;معصومه
mat;حصیر ، بوریا پوش کردن ، زیر گلدانی ، زیر بشقابی
mat-like;حصیری
mat-making;حصیرسازی ، حصیربافی
matador;ماتادور ، گاوباز اسپانیولی
match;بهم آمدن ، غشه ، جفت کردن ، جور کردن ، لنگه ، مساوی شدن
matches;کبریت
matchless;بی قرین
matchmaker;دلال ازدواج ، دلاله
mate;جنسی کردن ، همتا ، جفت کردن ، جفت گیری کردن ، لنگه ، شاه مات کردن
mater;سخت شامه ، نرم شامه
materfamilias;مادر خانواده ، زن خانه
material;جسم دار ، ماده ، جنس ، علیاف ، ثروت دوست ، مادی
material and spiritual;مادی و معنوی
material value;ارزش مادی
materialism;مال پرستی ، مادیت ، ماده پرستی ، ماده گرائی
materialist;ماده گرای ، مال پرست ، مادی ، مادی ، مال پرست ، ماده گرای ، ماده گرا ، ماده گرای ، ماده گرا
materialistic;زردوست ، پولکی
materialize;مادی کردن
materials;مواد ، مصالح
maternal;از مادری ، مادرانه ، مادروار
maternal uncle;خالو ، خال
maternity;زایشگاه
maternity hospital;زایشگاه
math;ریاضی
mathematician;ریاضی دان
mathematicians;ریاضیون
mathematics;ریاضی ، ریاضیات
matin;نغمه سحری ، دعای سحرگاه
matinal;بامدادی ، صبحگاهی
matriarch;مادر سالار
matriarchal;مادرسالاری
matriarchism;مادر تباری
matriarchy;مادرشاهی ، شه مادری ، زن سالاری ، مادرسالاری ، مادر سالاری
matricide;قاتل مادر ، مادر کشی ، مادرکش ، مادرکش ، مادرکشی
matriculate;به دانشگاه پذیرفته شدن
matrilineal;مادرتباری
matrimonial period;دوره مزاوجت
matrix;ماتریس
matron;زن شوهردار ، سرپرستار ، بیبی ، بی بی
matronymic;نسب مادری
matt;فلز شناسی
matte;فلز شناسی
matter;موضوع ، جسم ، ماده ، مطلب ، مهم بودن ، اهمیت داشتن ، امر
matter of course;نتیجه منطقی
matter of fact;بطور واقعی
matters;نکات
matthew;متی
matting;بوریا بافی
mattings;عبادت بامدادی
mattress;دوشک ، تشک ، دشک ، نهالی
mature;منقضی شدن ، بالغ شدن
matured;منقضی
maturity;سر رسید
matutinal;سحری
matzo;نان فطیر
matzoh;نان فطیر
mauger;سوء نیت
maugre;سوء نیت
maul;ضربت سنگین
mauler;له کننده
mausoleum;گور خانه ، مقبره ، بقعه
mausoleums;بغاع
mawkish;کسل کننده
maxilla;فک
maxillary;آروارهای ، فکی
maxim;قاعده کلی ، گفته ، گفته اخلاقی
maximal;بیشین
maximization;بیشینهسازی
maximize;بیشینه ساختن
maximum;حد اکثر ، بیشینه ، حداکثر
maximum consumption;بحبوحه مصرف
maxterm;بیشین لفظ
may;مه
may;ماه مه ، ریعان شباب
may god;الاهی
may god forgive;نعوذ بالله
may his fortune last;دام اقباله
maybe;شاید ، شاید
mayonnaise;مایونز
mayor;شهردار
mazandaran;طبرستان
mazar sharif;مزار شریف
maze;هذیان
maziar;مازیار
mazut;مازوت
mcdonald;مکدونالد
mckinney;مککینی
me;خودم ، مرا ، بنده ، من
mead;شهداب ، شهد آب ، آب وعسل
meadow;سبزه زار ، مرغزار ، چمنزار ، راغ ، چمن
meager;بی چربی ، بی برکت
meal;طعام ، خوراک ، غذا
mealy;لکه لکه
mealymouthed;شیرین زبان
mean;بدگهر ، دنی ، ناکس ، لئیم ، سفله ، رذل ، بدتبار ، دنی الطبع ، بد ذات ، پست ، معنی دادن ، دنیا الطبع ، معنی بخشیدن
mean quality;رذیله
mean spirited;پست فطرت
mean sun;آفتاب مجازی
mean-spirited;پست فطرت
meander;پیچ داشتن
meandering;مار پیچ ، پر پیچ و خم ، پیچ در پیچ ، پیچ پیچ
meaness;پستی
meaning;معنا ، معنی ، مقصود ، مصداق ، فحوا ، آرش ، یعنی
meaningful;معنی دار ، پرمدعا ، پرمعنی ، بامعنی ، پرمغز ، پر معنی
meaningless;بی مفهوم ، بی معنی ، بی معنی ، بیمعنا
meanings;معانی ، مفاهیم
meanness;سفلگی ، خباثت ، خست ، پستی ، ناکسی ، ذل ، خسی ، اخلاق پست
means;ذریعه ، وسایل ، وسیله ، سبب ، وسائط
means of transportation;وسائط نقلیه
meantime;ضمنا
meanwhile;عین حال ، ضمنا ، حال آن که ، در همین حال ، دراین حال ، در این میان ، درضمن ، در این حال ، در عین حال ، درضمن
measles;سرخچه ، کرم کدو ، سرخک ، سرخجه
measurable;پیمایش پذیر
measure;متر کردن ، ملاک ، اندازه ، مقیاس ، اقدام ، کیل کردن ، اندازه گیری کردن ، سنجیدن ، پیمانه کردن ، کیل ، اندازه گرفتن ، پیمانه ، میزان ، معاینه کردن ، ذرع کردن ، مقیاس کردن ، گز کردن ، خطوه
measure by set a square;گونیا کردن
measure depth;ژرف سنجی کردن
measured;پیموده ، سنجیده
measurement;اندازه گیری ، پیمایش ، سنجش ، اندازهگیری
measurements;موازین
measuring cup;کیله
meat;غذای اصلی ، گوشت ، لحم
meat ball;کوفته
meating;مجلس
meatless;بی گوشت
meatman;گوشت فروش
meaty;مغز دار ، گوشت دار ، گوشتدار ، گوشتالو ، گوشتی ، بی استخوان
mecca;مکه معظمه
mecca;مکه
meccan;مکی ، مکی
mechanic;مکانیک دان ، مکانیک
mechanical;ماشینی ، مکانیکی ، غیر فکری
mechanical engineer;مهندس مکانیک
mechanics;مکانیک
mechanism;طرز کار ، مکانیزم
mechanized;ماشینی شده ، مکانیزه ، ماشینی
mechnical tool;آلت مکانیکی
meconium;مامیزه
med;مسحور
medal;مدال ، مدال دادن
medalist;برنده مدال ، بردنه مدال
medallic;مدال مانند
medallion;مدالیون
meddle;فضولی کردن
meddler;فضول ، مدعی العموم ، فضول
meddlesome;فضول ، مداخله گر
meddling;مدعی العموم ، فضولی ، فضول
media;ماد
mediacy;میانجی گری
median;مادی
mediant;صدا است
mediastinum;قاسم الصدر
mediate;میانجی شدن ، میانجی گری کردن ، پا بمیان گذاشتن ، درمیان واقع شدن ، واقع درمیان ، وساطت کردن
mediation;وساطت ، میانجیگری ، شفاعت
mediator;میانجی
mediatory;شفاعت آمیز
mediatrix;شفیعه
medical;طبی ، مداوا ، پزشکی ، درمانی ، دارویی
medical assistant;پزشک یار
medical examination;معاینه طبی
medical profession;پزشکی ، طبابت ، دکتری
medical term;اصطلاح پزشکی
medical tratment;تداوی
medical treatment;معالجه
medication;لوازم دارویی ، مداوا
medicinal;شفا بخش ، داروئی ، دارایی
medicine;علم طب ، علمالابدان ، دوا ، طب ، دارو
medina;مدینه
mediocre;میانه ، متوسط الحال ، متوسط ، بی جمال
mediterranean;دریای مدیترانه
mediterranean;مدیترانه
medium;متوسط ، رسانه
medium of exchange;وسیله مبادله
medlar;ازگیل
medullar;شبیه نخاع ، مغزینه ای
medullary;شبیه نخاع ، مغزی
meek;فقیرانه ، افتاده ، فروتن ، مظلوم ، فقیرانه ، حلیم
meekness;حلم
meet;اجلاسیه داشتن ، اجلاسیه کردن ، تکافو کردن ، اجلاس داشتن ، اجلاس کردن ، ملاقات کردن
meeting;نشست ، اجتماع ، مجمع ، دیدار ، اجلاس ، ملاقات ، اجلاسیه ، جلسه ، محفل ، میتینگ ، همایش
meeting place;معهد
meetings;مجالس
mega;مگا
megabit;مگاذره
megacycle;مگا چرخه
megahertz;مگا هرتز
megrim;صداع شقیقه
meh al-rashid;مهرالرشید
mehdi;مهدی
mehdi karoubi;مهدی کروبی
mehr;مهر
mehr news agency;خبرگزاری مهر
mehrab;مهراب
mehrak;مهراک
mehrali;مهرعلی
mehran;مهران
mehraneh;مهرانه
mehrang;مهرنگ
mehrangiz;مهرنگیز
mehrdad;مهرداد
mehri;مهری
mehrnaz;مهرناز
mehrnush;مهرنوش
mehrvash;مهروش
mehrzad;مهرزاد
mekka;مکه معظمه
melamine;ملامین
melancholia;مالیخولیا
melancholic;غمگین ، سودا زده ، مالیخولیایی
melancholy;سودا زدگی
melanism;سیاه چردگی
melanochroi;سیه مویان
melic;ترانهای
meliorism;بهبود طلبی
melleus;چکشی
melliferous;مولد عسل ، عسل دار
mellifluent;عسل دار
melodic;خوش آهنگ ، دارای ملودی
melodies;نغمات ، الحان
melodious;خوش صدا ، خوشنوا ، بانوا ، ملیح
melody;خنیا ، آهنگ ملودی ، لحن
melon;خربزه ، خربوزه ، دستنو
melon patch;جالیز خربزه
melron;شرفه
melt;گداختن ، آب شدن ، مذاب کردن ، آب کردن ، ذوب شدن ، ذوب کردن ، گداخته شدن
meltable;گداختنی
melted;مذاب ، آب شده
melter;گدازنده
melting;گداز
melting point;نقطه ذوب
member;عضو
members;جوارح ، اعضا
members of the parliament;مجلسیان
membership;عضویت ، حق انشعاب
membership fee;حق اشتراک
membrane;غشاء ، غطاء ، شامه
membraneous;غشائی
membranous;غشادار
